ID,Bank branch,Funding type,Funding classification,Customer sector,Funding value,Installement value,Exchange date,Gender,Age,Social status,Special needs,Family members,Saving loan,Income
50,Riyadh,Social,Marriage,Government employee,30000,< 1000,2019/03,Male,< 30,Married,No,>= 05,No,>= 5000
51,Medina,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
52,Medina,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
53,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 5000
54,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 5000
55,Kharj,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
56,Taif,Social,Marriage,Government employee,36000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
57,Taif,Project,Emerging,NULL,152000,>= 1000,2019/01,Female,>= 30,Single,No,< 02,No,< 5000
58,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Widow,No,>= 02,No,< 5000
59,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Widow,No,>= 02,No,< 5000
60,Kharj,Social,Family,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
61,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
62,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 10,Yes,>= 10000
63,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 10000
64,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
65,Jeddah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
66,Taif,Social,Marriage,Private sector employee,42000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
67,Taif,Social,Marriage,Private sector employee,42000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
68,Taif,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,Yes,>= 7500
69,Hail,Social,Marriage,Government employee,30000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,Yes,>= 10000
70,Jeddah,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,< 30,Married,No,>= 10,Yes,>= 10000
71,Jeddah,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,< 30,Married,No,>= 10,Yes,>= 10000
72,Hail,Social,Marriage,Government employee,48000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
73,Hail,Social,Family,Private sector employee,42000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
74,Hail,Social,Family,Private sector employee,42000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
75,Medina,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
76,Medina,Social,Marriage,Government employee,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 7500
77,Tabuk,Social,Marriage,Government employee,54000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 7500
78,Jeddah,Project,Emerging,NULL,204000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
79,Taif,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
80,Kharj,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 40,Widow,No,>= 05,No,>= 10000
81,Kharj,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 40,Widow,No,>= 05,No,< 5000
82,Hail,Project,Emerging,NULL,184000,>= 1000,2019/01,Male,>= 30,Single,No,< 02,No,< 5000
83,Kharj,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 02,No,>= 10000
84,Kharj,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 02,No,< 5000
85,Hail,Project,Emerging,NULL,208000,>= 1000,2019/01,Female,>= 40,Married,No,< 02,No,< 5000
86,Taif,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
87,Kharj,Social,Marriage,Government company employee,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 7500
88,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
89,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
90,Riyadh,Project,Emerging,NULL,213000,>= 1000,2019/03,Male,>= 30,Single,No,< 02,No,< 5000
91,Taif,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
92,Taif,Social,Family,Government retired,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 05,No,>= 10000
93,Taif,Social,Family,Government retired,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 05,No,< 5000
94,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,Yes,>= 10000
95,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,Yes,< 5000
96,Jeddah,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,< 30,Married,No,>= 10,No,>= 10000
97,Jeddah,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,< 30,Married,No,>= 10,No,< 5000
98,Riyadh,Social,Marriage,Government employee,48000,< 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 7500
99,Jeddah,Project,Emerging,NULL,200000,>= 1000,2019/03,Male,< 30,Single,No,< 02,No,< 5000
100,Taif,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 02,No,>= 5000
101,Taif,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 02,No,>= 10000
102,Hail,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Divorced,No,>= 02,No,>= 7500
103,Hail,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Divorced,No,>= 02,No,< 5000
104,Jeddah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Divorced,No,>= 02,No,< 5000
105,Jeddah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Divorced,No,>= 02,No,>= 7500
106,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
107,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
108,Taif,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 7500
109,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
110,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 10000
111,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Widow,No,>= 02,No,< 5000
112,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Widow,No,>= 02,No,>= 5000
113,Taif,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,< 5000
114,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 7500
115,Taif,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
116,Taif,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
117,Taif,Social,Marriage,Government employee,24000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
118,Hail,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
119,Hail,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
120,Hail,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Divorced,No,>= 02,No,< 5000
121,Hail,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Divorced,No,>= 02,No,< 5000
122,Taif,Social,Marriage,Government employee,48000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
123,Hail,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
124,Taif,Project,Emerging,NULL,198000,>= 1000,2019/03,Female,>= 30,Married,No,< 02,No,< 5000
125,Hail,Project,Emerging,NULL,182000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
126,Taif,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
127,Taif,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
128,Taif,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
129,Hail,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,< 5000
130,Hail,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 5000
131,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
132,Hail,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 30,Widow,No,>= 05,No,>= 10000
133,Hail,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 30,Widow,No,>= 05,No,< 5000
134,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
135,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
136,Taif,Project,Emerging,NULL,167000,>= 1000,2019/03,Female,< 30,Single,No,< 02,No,< 5000
137,Hail,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
138,Taif,Social,Marriage,NULL,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
139,Taif,Social,Marriage,NULL,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
140,Hail,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
141,Riyadh,Social,Family,Private sector employee,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 02,No,>= 5000
142,Riyadh,Social,Family,Private sector employee,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 02,No,>= 10000
143,Taif,Project,Emerging,NULL,109000,>= 1000,2019/01,Female,< 30,Married,No,< 02,No,< 5000
144,Tabuk,Social,Renovation,NULL,60000,< 1000,2019/03,Female,>= 30,Married,No,< 02,No,< 5000
145,Tabuk,Social,Renovation,NULL,60000,< 1000,2019/03,Female,>= 30,Married,No,< 02,No,>= 10000
146,Taif,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
147,Taif,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
148,Hail,Transfer,Taxi cab,NULL,77360,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,>= 7500
149,Hail,Transfer,Taxi cab,NULL,77360,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
150,Hail,Project,Emerging,NULL,140000,>= 1000,2019/02,Female,>= 30,Single,No,< 02,No,< 5000
151,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
152,Taif,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,< 30,Married,Yes,>= 02,No,>= 10000
153,Taif,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,< 30,Married,Yes,>= 02,No,< 5000
154,Hail,Social,Marriage,Private sector employee,30000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
155,Hail,Social,Marriage,Private sector employee,30000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
156,Taif,Project,Emerging,NULL,243000,>= 1000,2019/02,Male,>= 40,Married,No,< 02,No,< 5000
157,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
158,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
159,Taif,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 05,No,>= 10000
160,Taif,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 05,No,>= 7500
161,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
162,Taif,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,< 5000
163,Hail,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
164,Taif,Social,Family,NULL,54000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
165,Taif,Social,Family,NULL,54000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
166,Hail,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
167,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
168,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
169,Hail,Project,Emerging,NULL,172000,>= 1000,2019/01,Female,< 30,Single,No,< 02,No,< 5000
170,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
171,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
172,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
173,Hail,Project,Solution,NULL,102000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
174,Hail,Social,Marriage,Government employee,30000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
175,Hail,Project,Emerging,NULL,115000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
176,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,Yes,>= 02,No,>= 7500
177,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
178,Hail,Social,Marriage,Government employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
179,Hail,Project,Emerging,NULL,100000,>= 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
180,Hail,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
181,Hail,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
182,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 10000
183,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 5000
184,Taif,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,>= 7500
185,Taif,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,< 5000
186,Hail,Project,Emerging,NULL,161000,>= 1000,2019/02,Female,>= 30,Married,No,< 02,No,< 5000
187,Hail,Social,Marriage,NULL,18000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 5000
188,Hail,Social,Marriage,NULL,18000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
189,Hail,Project,Emerging,NULL,191000,>= 1000,2019/02,Female,< 30,Single,No,< 02,No,< 5000
190,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 10000
191,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 7500
192,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
193,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
194,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
195,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
196,Hail,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
197,Hail,Social,Family,NULL,18000,< 1000,2019/02,Male,>= 30,Married,No,>= 10,No,>= 10000
198,Hail,Social,Family,NULL,18000,< 1000,2019/02,Male,>= 30,Married,No,>= 10,No,< 5000
199,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
200,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
201,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
202,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
203,Hail,Project,Emerging,NULL,158000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
204,Hail,Project,Emerging,NULL,165000,>= 1000,2019/02,Female,< 30,Single,No,< 02,No,< 5000
205,Hail,Project,Emerging,NULL,93000,>= 1000,2019/01,Male,>= 30,Single,No,< 02,No,< 5000
206,Hail,Social,Family,NULL,30000,< 1000,2019/01,Female,< 30,Divorced,No,>= 02,No,< 5000
207,Hail,Social,Family,NULL,30000,< 1000,2019/01,Female,< 30,Divorced,No,>= 02,No,>= 10000
208,Taif,Social,Family,NULL,60000,< 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,>= 10000
209,Taif,Social,Family,NULL,60000,< 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,< 5000
210,Hail,Project,Emerging,NULL,138000,>= 1000,2019/01,Female,>= 30,Single,No,< 02,No,< 5000
211,Hail,Project,Solution,NULL,174000,>= 1000,2019/01,Male,>= 30,Single,No,< 02,No,< 5000
212,Hail,Project,Emerging,NULL,175000,>= 1000,2019/01,Female,>= 40,Married,No,< 02,No,< 5000
213,Taif,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
214,Taif,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
215,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
216,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
217,Hail,Project,Emerging,NULL,180000,>= 1000,2019/01,Female,>= 30,Married,No,< 02,No,< 5000
218,Hail,Project,Emerging,NULL,138000,>= 1000,2019/03,Female,< 30,Single,No,< 02,No,< 5000
219,Hail,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
220,Hail,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
221,Hail,Project,Solution,NULL,164000,>= 1000,2019/02,Female,>= 30,Married,No,,No,
222,Hail,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
223,Hail,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
224,Hail,Social,Marriage,Private sector employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
225,Hail,Social,Marriage,Private sector employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
226,Jeddah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
227,Hail,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
228,Hail,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
229,Hail,Social,Family,Government employee,60000,>= 1000,2019/02,Female,>= 40,Divorced,No,>= 05,No,>= 5000
230,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
231,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
232,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
233,Hail,Social,Marriage,Private sector employee,42000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
234,Hail,Social,Marriage,Private sector employee,42000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
235,Hail,Social,Marriage,NULL,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
236,Hail,Social,Marriage,NULL,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
237,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
238,Hail,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
239,Hail,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
